job_male,job_female,postdoc_male,postdoc_female,,,,,
"78,000","66,000","42,750","44,000",,,,,
"75,000","66,000","42,000","42,000",,,,,
"75,000","75,000","43,000","43,250",,,,,
"80,000","75,000","42,000","42,000",,,,,
"75,167","71,750","50,000","50,000",,,,,
"95,000","97,650","50,000","53,000",,,,,
"105,000","90,000","58,000","55,000",,,,,
"63,000","60,000","42,000","42,000",,,,,
"105,000","95,750","65,000","65,000",,,,,
"64,000","62,000","48,000","49,250",,,,,
"95,000","90,000","45,000","45,000",,,,,
"71,000","63,000","50,000","45,000",,,,,
"52,000","50,000","45,000","45,000",,,,,
"123,500","120,000","60,000","63,500",,,,,
"62,800","61,000","50,000","44,000",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,